nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
508.5006561279297,513.4725570678711,503.2525405883789,500.2141571044922,517.3395843505859,489.1655044555664,527.2833786010742,504.9098358154297,531.1504211425781,,550.4855651855469,492.7563247680664,518.1682357788086,478.1168441772461,544.1325836181641,459.33412170410156,550.2093353271484,757.4272842407227,754.3900680541992,754.6661758422852,759.6361694335938,757.9794998168945,784.4860992431641,786.9710998535156,794.7021942138672,810.1643753051758,,931.6529693603516,843.849853515625,844.4020538330078,874.2219848632812,879.1919708251953,901.5569305419922,933.5857238769531
,512.8743438720703,,499.8750991821289,516.9366073608398,489.85484313964844,526.6860427856445,489.85484313964844,531.5607604980469,524.2486877441406,531.8315811157227,492.29219818115234,518.2907028198242,478.2096862792969,543.4767456054688,457.62753677368164,550.5180053710938,,752.646598815918,,759.9666900634766,758.0688934326172,783.8247833251953,786.8070373535156,805.2428283691406,808.2250823974609,783.8247833251953,786.8070373535156,843.4699859619141,843.7411041259766,874.3770294189453,877.9015350341797,904.7418670654297,932.9378051757812
,,,500.8665313720703,517.3851699829102,490.57623291015625,527.1338729858398,489.7638473510742,533.0914154052734,,532.2790222167969,493.8258056640625,519.2807540893555,477.84876251220703,544.7357025146484,456.45577239990234,552.3180236816406,,,,758.8431015014648,756.1315155029297,782.1626586914062,783.2472839355469,802.2283325195312,805.2110595703125,,785.145393371582,841.8173522949219,841.5462036132812,876.7966918945312,875.7120513916016,909.6067810058594,929.4012908935547
,,,501.25006103515625,518.8572235107422,491.8962707519531,529.0363616943359,490.24559783935547,535.6390380859375,,552.9710845947266,495.7478332519531,521.6083450317383,480.8917999267578,546.3683929443359,456.95708084106445,551.8706207275391,,,,756.3074645996094,754.3824234008789,780.5079803466797,780.2329635620117,802.783447265625,803.8834609985352,,921.3109436035156,839.3592071533203,839.3592071533203,872.9099273681641,872.3598937988281,905.9106140136719,921.3109436035156
,,,502.87120056152344,519.9532089233398,493.3811950683594,531.3412094116211,493.1100540161133,535.9506378173828,,532.9680633544922,497.1771926879883,524.0203475952148,483.3488998413086,547.8809356689453,463.82661056518555,554.3883514404297,,,,753.8148803710938,753.5437850952148,780.3823547363281,780.6534576416016,801.7989959716797,805.8654479980469,,829.4508514404297,837.3126525878906,840.0236206054688,871.4708404541016,867.6754913330078,901.5625762939453,919.7260589599609
,,,503.73199462890625,521.3261642456055,494.3850860595703,532.3225250244141,493.5603561401367,538.0956115722656,,534.5217971801758,497.95890045166016,524.8999786376953,484.48836517333984,551.2912445068359,463.8701972961426,557.8890533447266,,,,754.5832977294922,752.9332885742188,779.6083908081055,778.7833862304688,799.4084777832031,804.3584899902344,,827.7335815429688,838.7336273193359,838.4586181640625,872.2837524414062,868.4337463378906,901.9838714599609,918.2089385986328
,,,504.6756134033203,523.7871627807617,495.9629898071289,532.7808303833008,494.55773162841797,540.6502990722656,,539.80712890625,498.77352142333984,524.3492736816406,487.25038146972656,554.4218597412109,467.0146141052246,562.2913208007812,,,,754.2492294311523,752.0011749267578,779.2588500976562,780.1018676757812,798.648323059082,791.6231536865234,,785.4410018920898,837.4272613525391,836.8652648925781,869.4620666503906,869.1810455322266,898.9677886962891,919.2002716064453
542.2762451171875,,,504.73143768310547,523.6428909301758,495.8319320678711,533.6548538208008,495.2757034301758,540.0513763427734,,539.4951477050781,499.1692428588867,525.0334396362305,487.48863983154297,553.9568481445312,466.9085121154785,562.3001403808594,783.0923767089844,,,754.3884658813477,751.601676940918,779.1908721923828,779.7482299804688,800.3704681396484,792.8461456298828,,821.2713928222656,836.8773956298828,836.3200378417969,868.9254608154297,868.9254608154297,899.8588104248047,918.8089599609375
,,,507.1948928833008,524.0447387695312,497.4848098754883,534.6115798950195,498.9127655029297,541.1801605224609,,540.3233947753906,501.4830856323242,526.329460144043,489.2026901245117,554.0317230224609,469.49694442749023,565.4553680419922,,,,753.6029891967773,752.7445449829102,779.0699920654297,780.786865234375,803.3924102783203,815.4105529785156,,822.2780609130859,837.4437866210938,836.8715057373047,870.0644378662109,866.0584259033203,899.5375061035156,920.1400299072266
,,,508.6521224975586,526.3562316894531,499.0744857788086,535.6436386108398,511.55443572998047,542.6091918945312,,542.6091918945312,501.6865692138672,527.5171585083008,492.6893997192383,556.2500610351562,472.0829772949219,570.4713897705078,,,,754.1839065551758,753.3144760131836,779.3973236083984,781.7157974243164,800.2635879516602,815.3336791992188,,784.6138916015625,837.3591918945312,836.7795867919922,868.6585998535156,868.6585998535156,899.9580230712891,919.3752593994141
